LoanID,Segment,Industry,Outstanding,PD,LGD,EAD,EL_Base,PD_Scen,LGD_Scen,EAD_Scen,TransformNotes,EL_Scenario,ScenarioType,ScenarioID,Description,Audit_Metadata
1,Corporate,Manufacturing,428576,0.098,0.385,436799.83913397294,16480.4579305248,0.196,0.485,436799.83913397294,PD*2+0.0; LGD*1+0.1; EAD*1.0,41522.19270807547,Hypothetical,S1,"PD x2, LGD +0.1","ScenarioID                       S1
ScenarioType           Hypothetical
Description         PD x2, LGD +0.1
PD_Factor                         2
PD_Add                          0.0
LGD_Factor                        1
LGD_Add                         0.1
EAD_Factor                      1.0
Sector                             
Sector_PD_Factor                NaN
Sector_LGD_Add                  NaN
Name: 0, dtype: object"
2,Auto,Manufacturing,3312754,0.056,0.84,3211345.2232059957,151061.67929961003,0.112,0.94,3211345.2232059957,PD*2+0.0; LGD*1+0.1; EAD*1.0,338090.4250991272,Hypothetical,S1,"PD x2, LGD +0.1","ScenarioID                       S1
ScenarioType           Hypothetical
Description         PD x2, LGD +0.1
PD_Factor                         2
PD_Add                          0.0
LGD_Factor                        1
LGD_Add                         0.1
EAD_Factor                      1.0
Sector                             
Sector_PD_Factor                NaN
Sector_LGD_Add                  NaN
Name: 0, dtype: object"
3,Retail,Tech,3883561,0.033,0.761,3990002.0806721086,100200.92225191866,0.066,0.861,3990002.0806721086,PD*2+0.0; LGD*1+0.1; EAD*1.0,226735.85823627326,Hypothetical,S1,"PD x2, LGD +0.1","ScenarioID                       S1
ScenarioType           Hypothetical
Description         PD x2, LGD +0.1
PD_Factor                         2
PD_Add                          0.0
LGD_Factor                        1
LGD_Add                         0.1
EAD_Factor                      1.0
Sector                             
Sector_PD_Factor                NaN
Sector_LGD_Add                  NaN
Name: 0, dtype: object"
4,Corporate,Manufacturing,3211243,0.1,0.773,3308767.9043301987,255767.7590047244,0.2,0.873,3308767.9043301987,PD*2+0.0; LGD*1+0.1; EAD*1.0,577710.8760960527,Hypothetical,S1,"PD x2, LGD +0.1","ScenarioID                       S1
ScenarioType           Hypothetical
Description         PD x2, LGD +0.1
PD_Factor                         2
PD_Add                          0.0
LGD_Factor                        1
LGD_Add                         0.1
EAD_Factor                      1.0
Sector                             
Sector_PD_Factor                NaN
Sector_LGD_Add                  NaN
Name: 0, dtype: object"
5,Corporate,Manufacturing,2462990,0.097,0.438,2691208.441930184,114338.6818638458,0.194,0.538,2691208.441930184,PD*2+0.0; LGD*1+0.1; EAD*1.0,280886.8075011372,Hypothetical,S1,"PD x2, LGD +0.1","ScenarioID                       S1
ScenarioType           Hypothetical
Description         PD x2, LGD +0.1
PD_Factor                         2
PD_Add                          0.0
LGD_Factor                        1
LGD_Add                         0.1
EAD_Factor                      1.0
Sector                             
Sector_PD_Factor                NaN
Sector_LGD_Add                  NaN
Name: 0, dtype: object"
6,Auto,Tech,1584250,0.06,0.321,1348316.9815350166,25968.58506436442,0.12,0.42100000000000004,1348316.9815350166,PD*2+0.0; LGD*1+0.1; EAD*1.0,68116.97390714903,Hypothetical,S1,"PD x2, LGD +0.1","ScenarioID                       S1
ScenarioType           Hypothetical
Description         PD x2, LGD +0.1
PD_Factor                         2
PD_Add                          0.0
LGD_Factor                        1
LGD_Add                         0.1
EAD_Factor                      1.0
Sector                             
Sector_PD_Factor                NaN
Sector_LGD_Add                  NaN
Name: 0, dtype: object"
7,Retail,Tech,261087,0.089,0.467,234980.01787059408,9766.474482755502,0.178,0.5670000000000001,234980.01787059408,PD*2+0.0; LGD*1+0.1; EAD*1.0,23715.593283607577,Hypothetical,S1,"PD x2, LGD +0.1","ScenarioID                       S1
ScenarioType           Hypothetical
Description         PD x2, LGD +0.1
PD_Factor                         2
PD_Add                          0.0
LGD_Factor                        1
LGD_Add                         0.1
EAD_Factor                      1.0
Sector                             
Sector_PD_Factor                NaN
Sector_LGD_Add                  NaN
Name: 0, dtype: object"
8,Retail,Agri,1213343,0.027,0.595,1252434.0054277587,20120.352297196943,0.054,0.695,1252434.0054277587,PD*2+0.0; LGD*1+0.1; EAD*1.0,47003.848223703775,Hypothetical,S1,"PD x2, LGD +0.1","ScenarioID                       S1
ScenarioType           Hypothetical
Description         PD x2, LGD +0.1
PD_Factor                         2
PD_Add                          0.0
LGD_Factor                        1
LGD_Add                         0.1
EAD_Factor                      1.0
Sector                             
Sector_PD_Factor                NaN
Sector_LGD_Add                  NaN
Name: 0, dtype: object"
9,Corporate,Realty,2282263,0.035,0.48,2617405.6597281126,43972.4150834323,0.07,0.58,2617405.6597281126,PD*2+0.0; LGD*1+0.1; EAD*1.0,106266.66978496138,Hypothetical,S1,"PD x2, LGD +0.1","ScenarioID                       S1
ScenarioType           Hypothetical
Description         PD x2, LGD +0.1
PD_Factor                         2
PD_Add                          0.0
LGD_Factor                        1
LGD_Add                         0.1
EAD_Factor                      1.0
Sector                             
Sector_PD_Factor                NaN
Sector_LGD_Add                  NaN
Name: 0, dtype: object"
10,MSME,Realty,3938856,0.073,0.755,4036329.5966202626,222462.30571772577,0.146,0.855,4036329.5966202626,PD*2+0.0; LGD*1+0.1; EAD*1.0,503855.02354610735,Hypothetical,S1,"PD x2, LGD +0.1","ScenarioID                       S1
ScenarioType           Hypothetical
Description         PD x2, LGD +0.1
PD_Factor                         2
PD_Add                          0.0
LGD_Factor                        1
LGD_Add                         0.1
EAD_Factor                      1.0
Sector                             
Sector_PD_Factor                NaN
Sector_LGD_Add                  NaN
Name: 0, dtype: object"
