borrower_id,income,dti,credit_score,sector,region,ead,lgd,pd,default_flag,recovery,collateral_value,collateral_type,product_type,loan_start_date,loan_vintage,interest_rate,gdp_growth,unemployment,arrears_30d,arrears_60d,arrears_90d
1,56602.94,0.643,590,Corporate,West,762310,0.32,0.07,0,762310,0,Unsecured,Personal Loan,2021-07-17,4 yrs,8.0,5.2,7.2,0,0,1
2,53526.81,0.667,624,Corporate,East,629941,0.48,0.067,0,629941,0,Unsecured,Personal Loan,2020-02-29,5 yrs,8.0,5.2,7.2,0,0,0
3,63228.46,0.156,689,Consumer,South,122595,0.27,0.072,0,122595,42964,Inventory,Personal Loan,2019-06-07,6 yrs,8.0,5.2,7.2,1,0,0
4,94578.09,0.149,643,Corporate,South,748787,0.3,0.073,0,748787,1425780,Unsecured,Credit Card,2021-03-30,4 yrs,8.0,5.2,7.2,0,0,0
5,67008.56,0.344,652,Consumer,North,247432,0.33,0.061,0,247432,187339,Inventory,Home Loan,2023-07-10,2 yrs,8.0,5.2,7.2,0,0,1
6,96380.77,0.293,598,Consumer,North,608167,0.49,0.07,0,608167,1010751,Plant/Equipment,Term Loan,2024-05-01,1 yrs,8.0,5.2,7.2,0,0,0
7,47521.14,0.481,611,SME,West,227165,0.59,0.043,0,227165,371246,Inventory,Credit Card,2020-01-18,5 yrs,8.0,5.2,7.2,0,0,0
8,99720.06,0.505,645,Consumer,South,574848,0.32,0.031,0,574848,645146,Plant/Equipment,Term Loan,2018-09-17,7 yrs,8.0,5.2,7.2,1,0,0
9,57749.85,0.163,633,SME,South,925401,0.4,0.039,0,925401,499780,Inventory,Home Loan,2022-10-19,3 yrs,8.0,5.2,7.2,0,0,0
10,119154.27,0.417,630,Consumer,West,667391,0.16,0.041,0,667391,1158419,Plant/Equipment,Business Loan,2022-05-09,3 yrs,8.0,5.2,7.2,0,0,0
11,45703.52,0.628,721,Corporate,East,882688,0.2,0.062,0,882688,664059,Plant/Equipment,Business Loan,2025-06-02,0 yrs,8.0,5.2,7.2,0,0,0
12,40675.14,0.788,617,Corporate,North,913959,0.44,0.049,0,913959,1022884,Inventory,Home Loan,2019-09-29,6 yrs,8.0,5.2,7.2,0,0,0
13,53472.74,0.158,624,Consumer,South,112329,0.44,0.065,0,112329,223714,Plant/Equipment,Term Loan,2017-05-23,8 yrs,8.0,5.2,7.2,0,0,0
14,36788.36,0.548,665,Mortgage,West,869439,0.53,0.03,0,869439,1082674,Plant/Equipment,Personal Loan,2022-10-25,3 yrs,8.0,5.2,7.2,0,0,0
15,76838.94,0.454,645,Consumer,North,893265,0.35,0.031,0,893265,0,Unsecured,Term Loan,2023-05-21,2 yrs,8.0,5.2,7.2,0,0,0
16,112672.78,0.246,624,SME,East,491798,0.43,0.042,0,491798,907196,Plant/Equipment,Personal Loan,2025-08-30,0 yrs,8.0,5.2,7.2,0,0,0
17,36698.28,0.171,676,Consumer,South,722988,0.37,0.032,0,722988,305761,Property,Home Loan,2021-08-22,4 yrs,8.0,5.2,7.2,0,0,0
18,103638.19,0.464,639,Mortgage,West,209145,0.48,0.031,0,209145,0,Unsecured,Personal Loan,2025-07-05,0 yrs,8.0,5.2,7.2,0,0,1
19,114092.16,0.258,669,Consumer,West,946242,0.54,0.063,0,946242,0,Unsecured,Personal Loan,2019-10-13,6 yrs,8.0,5.2,7.2,1,0,0
20,142741.16,0.168,729,Corporate,West,180087,0.22,0.047,0,180087,179289,Unsecured,Credit Card,2020-11-29,5 yrs,8.0,5.2,7.2,1,1,0
21,58803.17,0.244,678,Corporate,East,519466,0.42,0.052,0,519466,163745,Property,Term Loan,2025-03-03,0 yrs,8.0,5.2,7.2,0,0,0
22,124659.75,0.412,670,Corporate,North,61709,0.32,0.026,0,61709,40297,Property,Credit Card,2020-07-19,5 yrs,8.0,5.2,7.2,0,0,0
23,73987.15,0.363,663,Mortgage,West,500768,0.24,0.021,0,500768,344762,Property,Business Loan,2021-11-28,4 yrs,8.0,5.2,7.2,0,0,0
24,101270.24,0.188,597,Consumer,East,962495,0.22,0.012,0,962495,1713117,Property,Credit Card,2018-06-14,7 yrs,8.0,5.2,7.2,0,0,0
25,32871.95,0.405,646,Consumer,South,38453,0.5,0.039,1,21033,59975,Property,Personal Loan,2024-01-26,1 yrs,8.0,5.2,7.2,0,0,0
26,34367.35,0.156,587,Mortgage,East,39796,0.33,0.006,0,39796,78708,Plant/Equipment,Home Loan,2017-10-13,8 yrs,8.0,5.2,7.2,0,0,0
27,68136.03,0.565,664,Mortgage,South,265180,0.17,0.064,0,265180,0,Unsecured,Business Loan,2017-09-07,8 yrs,8.0,5.2,7.2,0,0,0
28,73499.27,0.322,664,Consumer,North,359215,0.47,0.051,0,359215,109096,Property,Home Loan,2021-06-27,4 yrs,8.0,5.2,7.2,1,0,0
29,132805.06,0.176,694,Mortgage,East,53358,0.3,0.014,0,53358,0,Unsecured,Business Loan,2024-05-15,1 yrs,8.0,5.2,7.2,0,0,0
30,90780.54,0.191,674,Mortgage,South,67993,0.23,0.009,0,67993,104181,Unsecured,Home Loan,2020-06-01,5 yrs,8.0,5.2,7.2,0,0,0
31,37047.12,0.218,665,Consumer,South,402242,0.29,0.007,0,402242,238188,Unsecured,Personal Loan,2023-01-26,2 yrs,8.0,5.2,7.2,0,0,1
32,34382.03,0.458,687,SME,East,185596,0.39,0.072,0,185596,244596,Property,Personal Loan,2023-06-20,2 yrs,8.0,5.2,7.2,0,0,0
33,74910.22,0.595,630,Consumer,North,385352,0.42,0.005,0,385352,569639,Property,Term Loan,2021-08-31,4 yrs,8.0,5.2,7.2,0,0,0
34,55839.31,0.215,663,Mortgage,North,607158,0.57,0.056,0,607158,464924,Plant/Equipment,Home Loan,2019-11-14,6 yrs,8.0,5.2,7.2,0,0,0
35,90046.61,0.621,664,Corporate,West,943323,0.56,0.03,0,943323,0,Unsecured,Business Loan,2019-11-01,6 yrs,8.0,5.2,7.2,0,0,0
36,57198.06,0.34,690,Corporate,South,605485,0.33,0.023,0,605485,336002,Inventory,Term Loan,2020-03-18,5 yrs,8.0,5.2,7.2,0,0,0
37,137934.46,0.545,661,SME,South,147819,0.53,0.015,0,147819,0,Unsecured,Term Loan,2019-02-18,6 yrs,8.0,5.2,7.2,0,0,0
38,67724.32,0.113,684,Corporate,South,32287,0.28,0.042,0,32287,58450,Inventory,Term Loan,2022-02-19,3 yrs,8.0,5.2,7.2,0,0,0
39,39420.43,0.511,708,Consumer,East,639675,0.28,0.039,0,639675,708630,Property,Credit Card,2018-10-09,7 yrs,8.0,5.2,7.2,0,0,0
40,126229.88,0.72,637,SME,South,60041,0.28,0.075,0,60041,0,Unsecured,Business Loan,2024-12-04,1 yrs,8.0,5.2,7.2,0,0,0
41,33422.46,0.686,669,Corporate,East,931630,0.37,0.067,0,931630,1508973,Inventory,Credit Card,2023-08-30,2 yrs,8.0,5.2,7.2,1,0,0
42,80253.75,0.359,621,SME,South,520449,0.19,0.058,0,520449,0,Unsecured,Personal Loan,2025-04-18,0 yrs,8.0,5.2,7.2,0,0,0
43,132643.34,0.712,702,SME,West,503274,0.5,0.048,0,503274,645667,Property,Home Loan,2018-04-15,7 yrs,8.0,5.2,7.2,0,0,0
44,47368.17,0.664,609,SME,North,208182,0.55,0.059,0,208182,192857,Plant/Equipment,Home Loan,2020-11-17,5 yrs,8.0,5.2,7.2,0,0,0
45,140031.13,0.366,663,Mortgage,South,734364,0.19,0.009,0,734364,917833,Unsecured,Term Loan,2020-04-23,5 yrs,8.0,5.2,7.2,0,0,0
